,Unnamed: 0,sex,volunteer,Q 1,Q 2,Q 3,Q 4,Q 5,Q 6,Q 7,Q 8,Q 9,Q 10,Q 11,Q 12,Q 13,Q 14,Q 15,Q 16,Q 17,Q 18,Q 19,Q 20,Q 21,Q 22,Q 23,Q 24,Q 25,Q 26,Q 27,Q 28,Q 29,Q 30,Q 31,Q 32,Q 33,Q 34,Q 35,Q 36,Q 37,Q 38,Q 39,Q 40,Q 41,Q 42,Q 43,Q 44,Q 45,Q 46,Q 47,Q 48,Q 49,Q 50,Q 51,Q 52,Q 53,Q 54,Q 55,Q 56,Q 57
0,1,Женский,Нет,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Да
1,2,Женский,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Да,Да,Нет,Да,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Да,Нет,Да,Да,Нет
2,3,Женский,Да,Да,Да,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Да,Да,Нет
3,4,Женский,Нет,Да,Да,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Да,Нет,Да,Да,Да,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Да,Да,Нет,Нет,Нет,Да,Нет,Нет
4,5,Женский,Нет,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет
5,6,Женский,Нет,Да,Нет,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Нет,Нет,Да,Да,Нет,Да,Нет
6,7,Женский,Нет,Да,Нет,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Нет
7,8,Женский,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Нет
8,9,Женский,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Да,Да,Нет
9,10,Женский,Да,Да,Да,Нет,Нет,Да,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Да,Да,Да,Да,Нет
10,11,Мужской,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет
11,12,Женский,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Нет,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет
12,13,Женский,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Нет,Да,Нет,Да,Да,Да,Да
13,14,Женский,Нет,Да,Да,Нет,Да,Да,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Да,Да,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет
14,15,Женский,Нет,Нет,Нет,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Нет,Да,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Да,Да,Нет,Да,Да,Нет,Нет
15,16,Женский,Нет,Да,Да,Да,Нет,Да,Нет,Да,Нет,Да,Нет,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да
16,17,Женский,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Нет,Да,Нет,Да,Да,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Да,Да,Нет,Да,Да,Да,Нет
17,18,Женский,Нет,Да,Нет,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Нет
18,19,Женский,Нет,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Нет,Нет,Нет,Нет,Да,Да,Нет,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Нет,Нет,Нет,Да,Нет,Да,Да,Нет,Да
19,20,Женский,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Нет,Да,Да,Да,Нет,Да,Нет,Да,Да
20,21,Женский,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Да,Да,Да,Нет
21,22,Женский,Да,Да,Да,Нет,Нет,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Да,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет
22,23,Женский,Нет,Да,Да,Нет,Да,Да,Да,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Да,Нет
23,24,Мужской,Да,Да,Да,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Нет,Нет,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Да,Да,Нет
24,25,Мужской,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Нет,Да,Да,Нет,Да
25,26,Женский,Да,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Нет,Да,Да,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Да,Да,Нет,Да,Да,Нет,Нет
26,27,Женский,Нет,Да,Да,Нет,Нет,Да,Да,Да,Нет,Да,Да,Нет,Нет,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет
27,28,Женский,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Да,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Нет,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет
28,29,Женский,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Нет,Нет,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Нет,Да,Да,Да
29,30,Женский,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Да,Да,Нет
30,31,Женский,Да,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Да,Нет
31,32,Женский,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Нет,Да,Нет,Нет,Нет,Да,Нет
32,33,Женский,Да,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Нет,Да,Нет,Нет
33,34,Мужской,Нет,Нет,Да,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Да,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Да,Нет
34,35,Женский,Нет,Да,Да,Да,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Нет,Да,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет
35,36,Женский,Да,Да,Да,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Нет,Нет,Да,Да,Нет,Да,Да,Нет,Нет
36,37,Женский,Нет,Да,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Нет
37,38,Женский,Нет,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет
38,39,Женский,Нет,Да,Нет,Нет,Нет,Да,Нет,Да,Нет,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Нет,Да,Нет,Нет,Нет,Нет,Да,Да,Да
39,40,Женский,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Нет,Нет,Нет,Да,Нет,Да,Да,Да,Да
40,41,Женский,Нет,Да,Да,Нет,Нет,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Нет,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Да,Да,Нет,Да,Нет,Да
41,42,Женский,Да,Да,Да,Нет,Нет,Да,Нет,Да,Нет,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Нет,Да,Да,Да,Да,Да,Нет
42,43,Женский,Да,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет
43,44,Женский,Нет,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Нет,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Нет,Да,Нет
44,45,Женский,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Нет,Нет,Да,Да,Да,Нет,Да,Да,Да
45,46,Женский,Нет,Да,Да,Нет,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да
46,47,Женский,Да,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Да,Да,Нет,Да,Да,Нет
47,48,Женский,Нет,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Да,Нет,Да,Да,Нет,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Нет,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Нет
48,49,Женский,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Нет,Да,Нет,Да,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Да,Да,Нет,Нет,Нет
49,50,Женский,Да,Нет,Нет,Нет,Нет,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Нет,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Да,Да,Да,Нет
50,51,Женский,Нет,Да,Да,Нет,Нет,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Да,Да,Да
51,52,Женский,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Нет,Да,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Нет
